Bit_Ke, Bit_Alice, Basis_Alice, Basis_Bob, Bit0_Bob, Bit1_Bob, Bit_Bob
1, 1, 0, 1, 3.51044e-05, 3.60256e-05, x
2, 0, 0, 1, 3.02654e-05, 4.22903e-05, x
3, 1, 1, 0, 2.98792e-05, 3.35453e-05, x
4, 0, 1, 1, 7.19262e-05, 6.27251e-07, 0
5, 0, 0, 0, 6.47075e-05, 2.08568e-07, 0
6, 1, 1, 0, 2.99212e-05, 3.35093e-05, x
7, 1, 0, 0, 2.08963e-07, 6.39931e-05, 1
8, 1, 1, 1, 8.38039e-08, 7.59389e-05, 1
9, 1, 0, 1, 3.56075e-05, 2.86538e-05, x
10, 0, 1, 1, 6.49088e-05, 2.09027e-07, 0
11, 1, 1, 0, 3.1627e-05, 3.95507e-05, x
12, 0, 1, 0, 4.20795e-05, 3.11093e-05, x
13, 0, 1, 1, 6.91057e-05, 2.25692e-08, 0
14, 0, 1, 0, 3.42755e-05, 3.53761e-05, x
15, 1, 1, 0, 3.16641e-05, 3.95246e-05, x
16, 1, 0, 1, 3.55625e-05, 2.8622e-05, x
17, 1, 0, 0, 5.05651e-09, 6.85159e-05, 1
18, 0, 0, 1, 3.02745e-05, 4.22808e-05, x
19, 0, 0, 1, 3.42777e-05, 3.431e-05, x
20, 1, 0, 0, 4.32529e-07, 7.10856e-05, 1
21, 0, 1, 1, 6.48985e-05, 2.12917e-07, 0
22, 0, 0, 1, 2.89462e-05, 3.57856e-05, x
23, 1, 0, 1, 4.12101e-05, 3.02727e-05, x
24, 0, 0, 0, 7.23673e-05, 4.058e-07, 0
25, 1, 0, 1, 4.12535e-05, 3.02972e-05, x
26, 1, 1, 1, 8.18029e-08, 7.59152e-05, 1
27, 0, 1, 0, 4.20355e-05, 3.11518e-05, x
28, 1, 0, 0, 2.39285e-07, 7.58167e-05, 1
29, 1, 0, 1, 3.39809e-05, 3.45953e-05, x
30, 1, 0, 1, 3.4028e-05, 3.46256e-05, x
31, 0, 1, 0, 3.60183e-05, 2.97061e-05, x
32, 1, 0, 1, 3.98322e-05, 3.63288e-05, x
33, 1, 1, 0, 3.73111e-05, 3.8154e-05, x
34, 0, 0, 1, 3.55725e-05, 4.0639e-05, x
35, 0, 0, 0, 6.86971e-05, 5.81407e-09, 0
36, 1, 1, 1, 2.40291e-07, 6.35182e-05, 1
37, 1, 1, 1, 4.16654e-08, 6.80603e-05, 1
38, 0, 1, 1, 7.19266e-05, 6.20673e-07, 0
39, 1, 1, 1, 2.93339e-07, 7.13028e-05, 1
40, 0, 0, 1, 3.56182e-05, 4.06529e-05, x
41, 1, 1, 1, 2.43775e-07, 6.35244e-05, 1
42, 0, 0, 0, 7.61527e-05, 2.01396e-07, 0
43, 1, 0, 0, 4.36015e-07, 7.11666e-05, 1
44, 1, 0, 0, 5.23622e-09, 6.84435e-05, 1
45, 1, 1, 0, 3.72786e-05, 3.82105e-05, x
46, 1, 1, 0, 3.53871e-05, 3.22565e-05, x
47, 1, 1, 1, 4.03169e-08, 6.80684e-05, 1
48, 1, 0, 0, 2.07226e-07, 6.4067e-05, 1
49, 0, 0, 0, 7.22966e-05, 4.07773e-07, 0
50, 0, 1, 0, 4.03603e-05, 3.67165e-05, x
51, 0, 0, 0, 6.47746e-05, 2.05893e-07, 0
52, 0, 0, 1, 3.43093e-05, 3.43615e-05, x
53, 0, 1, 1, 7.60586e-05, 4.40706e-07, 0
54, 1, 0, 0, 2.34742e-07, 7.57243e-05, 1
55, 0, 1, 0, 3.60506e-05, 2.9663e-05, x
56, 0, 1, 0, 3.42428e-05, 3.54063e-05, x
57, 0, 0, 1, 2.89692e-05, 3.5832e-05, x
58, 0, 1, 0, 4.03795e-05, 3.66877e-05, x
59, 1, 1, 1, 2.88351e-07, 7.12966e-05, 1
60, 1, 1, 0, 3.54185e-05, 3.22203e-05, x
61, 0, 0, 0, 7.60938e-05, 1.99728e-07, 0
62, 0, 1, 1, 7.6073e-05, 4.38629e-07, 0
63, 0, 1, 1, 6.91065e-05, 2.26304e-08, 0
64, 1, 0, 1, 3.97896e-05, 3.62935e-05, x
65, 0, 0, 1, 3.03282e-05, 4.22944e-05, x
66, 1, 1, 0, 2.9879e-05, 3.35455e-05, x
67, 0, 1, 1, 7.19262e-05, 6.2725e-07, 0
68, 0, 0, 0, 6.47075e-05, 2.08568e-07, 0
69, 1, 1, 0, 2.99212e-05, 3.35093e-05, x
70, 1, 0, 0, 2.08963e-07, 6.39931e-05, 1
71, 1, 1, 1, 8.38039e-08, 7.59389e-05, 1
72, 1, 0, 1, 3.56075e-05, 2.86538e-05, x
73, 0, 1, 1, 6.49088e-05, 2.09027e-07, 0
74, 1, 1, 0, 3.1627e-05, 3.95507e-05, x
